0:0:0:0:0:0:0:1 - - [27/Sep/2021:13:50:09 +0530] "GET /ORS_4/ctl/FacultyListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Sep/2021:13:50:09 +0530] "GET /ORS_4/ErrorCtl HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [27/Sep/2021:13:53:32 +0530] "GET /ORS_4/ctl/FacultyListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Sep/2021:13:53:32 +0530] "GET /ORS_4/ErrorCtl HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [27/Sep/2021:13:56:59 +0530] "GET /ORS_4/WelcomeCtl HTTP/1.1" 200 3276
0:0:0:0:0:0:0:1 - - [27/Sep/2021:13:57:02 +0530] "GET /ORS_4/ctl/StudentListCtl HTTP/1.1" 200 11358
0:0:0:0:0:0:0:1 - - [27/Sep/2021:13:57:18 +0530] "GET /ORS_4/ctl/FacultyListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Sep/2021:13:57:18 +0530] "GET /ORS_4/ErrorCtl HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [27/Sep/2021:14:04:43 +0530] "GET /ORS_4/ctl/FacultyCtl HTTP/1.1" 200 9584
0:0:0:0:0:0:0:1 - - [27/Sep/2021:14:04:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Sep/2021:14:05:31 +0530] "POST /ORS_4/ctl/FacultyCtl HTTP/1.1" 200 9774
0:0:0:0:0:0:0:1 - - [27/Sep/2021:14:05:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Sep/2021:14:06:30 +0530] "POST /ORS_4/ctl/FacultyCtl HTTP/1.1" 200 9778
0:0:0:0:0:0:0:1 - - [27/Sep/2021:14:06:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Sep/2021:14:06:37 +0530] "POST /ORS_4/ctl/FacultyCtl HTTP/1.1" 200 9754
0:0:0:0:0:0:0:1 - - [27/Sep/2021:14:06:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Sep/2021:14:08:39 +0530] "POST /ORS_4/ctl/FacultyCtl HTTP/1.1" 200 9772
0:0:0:0:0:0:0:1 - - [27/Sep/2021:14:08:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Sep/2021:14:09:43 +0530] "POST /ORS_4/ctl/FacultyCtl HTTP/1.1" 200 9764
0:0:0:0:0:0:0:1 - - [27/Sep/2021:14:09:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Sep/2021:14:10:36 +0530] "POST /ORS_4/ctl/FacultyCtl HTTP/1.1" 200 9778
0:0:0:0:0:0:0:1 - - [27/Sep/2021:14:10:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Sep/2021:14:11:24 +0530] "POST /ORS_4/ctl/FacultyCtl HTTP/1.1" 200 9761
0:0:0:0:0:0:0:1 - - [27/Sep/2021:14:11:24 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Sep/2021:14:12:03 +0530] "POST /ORS_4/ctl/FacultyCtl HTTP/1.1" 200 9774
0:0:0:0:0:0:0:1 - - [27/Sep/2021:14:12:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Sep/2021:14:12:54 +0530] "POST /ORS_4/ctl/FacultyCtl HTTP/1.1" 200 9766
0:0:0:0:0:0:0:1 - - [27/Sep/2021:14:12:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Sep/2021:14:13:28 +0530] "GET /ORS_4/ctl/FacultyListCtl HTTP/1.1" 200 8221
