127.0.0.1 - - [21/Dec/2021:14:28:56 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:28:57 +0530] "GET /ORS_4/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:28:59 +0530] "GET /ORS_4/WelcomeCtl HTTP/1.1" 200 1391
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:29:02 +0530] "GET /ORS_4/LoginCtl HTTP/1.1" 200 3352
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:29:10 +0530] "POST /ORS_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:29:10 +0530] "GET /ORS_4/WelcomeCtl HTTP/1.1" 200 3277
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:29:13 +0530] "GET /ORS_4/doc/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:29:13 +0530] "GET /ORS_4/doc/overview-frame.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:29:13 +0530] "GET /ORS_4/doc/allclasses-frame.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:29:13 +0530] "GET /ORS_4/doc/overview-summary.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:29:13 +0530] "GET /ORS_4/doc/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:29:13 +0530] "GET /ORS_4/doc/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:29:13 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:29:13 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:29:13 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:29:16 +0530] "GET /ORS_4/doc/index.html?overview-summary.html HTTP/1.1" 200 2937
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:29:17 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:29:17 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:29:17 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:29:17 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:29:19 +0530] "GET /ORS_4/doc/overview-summary.html HTTP/1.1" 200 4942
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:29:19 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:29:21 +0530] "GET /ORS_4/doc/allclasses-noframe.html HTTP/1.1" 200 9454
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:29:21 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:29:31 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:29:31 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:29:31 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:29:31 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:29:35 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:32:23 +0530] "GET /ORS_4/doc/in/co/rays/ors/bean/BaseBean.html HTTP/1.1" 200 21067
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:32:23 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:32:36 +0530] "GET /ORS_4/doc/in/co/rays/ors/controller/UserCtl.html HTTP/1.1" 200 23190
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:32:36 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:33:41 +0530] "GET /ORS_4/doc/in/co/rays/ors/controller/UserListCtl.html HTTP/1.1" 200 21370
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:33:41 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:33:44 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:34:53 +0530] "GET /ORS_4/doc/in/co/rays/ors/bean/DropdownListBean.html HTTP/1.1" 200 10101
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:34:54 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:35:16 +0530] "GET /ORS_4/doc/help-doc.html HTTP/1.1" 200 9037
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:35:16 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:36:02 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:36:45 +0530] "GET /ORS_4/doc/in/co/rays/ors/bean/CollegeBean.html HTTP/1.1" 200 21474
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:36:45 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:37:37 +0530] "GET /ORS_4/ctl/UserCtl HTTP/1.1" 200 9043
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:37:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:38:58 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:38:58 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:38:58 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [21/Dec/2021:14:41:10 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
