127.0.0.1 - - [18/Nov/2021:12:52:55 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Nov/2021:12:52:57 +0530] "GET /ORS_4/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [18/Nov/2021:12:53:01 +0530] "GET /ORS_4/WelcomeCtl HTTP/1.1" 200 1391
0:0:0:0:0:0:0:1 - - [18/Nov/2021:12:53:04 +0530] "GET /ORS_4/LoginCtl HTTP/1.1" 200 3348
0:0:0:0:0:0:0:1 - - [18/Nov/2021:12:53:15 +0530] "POST /ORS_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2021:12:53:15 +0530] "GET /ORS_4/WelcomeCtl HTTP/1.1" 200 3277
0:0:0:0:0:0:0:1 - - [18/Nov/2021:12:53:19 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Nov/2021:12:53:19 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Nov/2021:12:53:19 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Nov/2021:12:53:19 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [18/Nov/2021:13:04:15 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Nov/2021:13:04:15 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Nov/2021:13:04:15 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Nov/2021:13:04:25 +0530] "GET /ORS_4/doc/in/co/rays/ors/bean/package-frame.html HTTP/1.1" 200 2051
0:0:0:0:0:0:0:1 - - [18/Nov/2021:13:04:25 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Nov/2021:13:04:29 +0530] "GET /ORS_4/doc/in/co/rays/ors/bean/package-summary.html HTTP/1.1" 200 8172
0:0:0:0:0:0:0:1 - - [18/Nov/2021:13:04:29 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Nov/2021:13:04:36 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Nov/2021:13:04:38 +0530] "GET /ORS_4/doc/index.html?overview-summary.html HTTP/1.1" 200 2937
0:0:0:0:0:0:0:1 - - [18/Nov/2021:13:04:38 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Nov/2021:13:04:38 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Nov/2021:13:04:38 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Nov/2021:13:04:38 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Nov/2021:13:04:40 +0530] "GET /ORS_4/doc/overview-summary.html HTTP/1.1" 200 4942
0:0:0:0:0:0:0:1 - - [18/Nov/2021:13:04:40 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Nov/2021:13:04:43 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Nov/2021:13:04:43 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Nov/2021:13:04:43 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Nov/2021:13:04:43 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Nov/2021:13:04:48 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Nov/2021:13:04:49 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Nov/2021:13:04:51 +0530] "GET /ORS_4/doc/in/co/rays/ors/bean/BaseBean.html HTTP/1.1" 200 21162
0:0:0:0:0:0:0:1 - - [18/Nov/2021:13:04:51 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Nov/2021:13:04:51 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Nov/2021:13:29:44 +0530] "GET /ORS_4/WelcomeCtl HTTP/1.1" 200 3277
0:0:0:0:0:0:0:1 - - [18/Nov/2021:13:29:46 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Nov/2021:13:29:46 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Nov/2021:13:29:46 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Nov/2021:13:29:50 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Nov/2021:13:29:50 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Nov/2021:13:31:29 +0530] "GET /ORS_4/LoginCtl?operation=logout HTTP/1.1" 200 3371
0:0:0:0:0:0:0:1 - - [18/Nov/2021:13:31:37 +0530] "POST /ORS_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2021:13:31:37 +0530] "GET /ORS_4/WelcomeCtl HTTP/1.1" 200 3277
0:0:0:0:0:0:0:1 - - [18/Nov/2021:13:31:39 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Nov/2021:13:31:39 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Nov/2021:13:31:39 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Nov/2021:13:31:44 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Nov/2021:13:31:44 +0530] "GET /ORS_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 898
