127.0.0.1 - - [29/Oct/2021:13:10:04 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:10:06 +0530] "GET /ORS_4/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:10:07 +0530] "GET /ORS_4/img/logo.png HTTP/1.1" 200 19649
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:10:09 +0530] "GET /ORS_4/WelcomeCtl HTTP/1.1" 200 1391
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:21:57 +0530] "GET /ORS_4/WelcomeCtl HTTP/1.1" 200 1391
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:22:00 +0530] "GET /ORS_4/WelcomeCtl HTTP/1.1" 200 1391
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:22:01 +0530] "GET /ORS_4/WelcomeCtl HTTP/1.1" 200 1391
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:22:04 +0530] "GET /ORS_4/LoginCtl HTTP/1.1" 200 3349
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:22:06 +0530] "GET /ORS_4/WelcomeCtl HTTP/1.1" 200 1391
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:22:10 +0530] "GET /ORS_4/LoginCtl HTTP/1.1" 200 3349
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:22:13 +0530] "GET /ORS_4/WelcomeCtl HTTP/1.1" 200 1391
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:22:16 +0530] "GET /ORS_4/LoginCtl HTTP/1.1" 200 3349
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:22:21 +0530] "GET /ORS_4/WelcomeCtl HTTP/1.1" 200 1391
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:23:28 +0530] "GET /ORS_4/LoginCtl HTTP/1.1" 200 3349
