127.0.0.1 - - [02/Dec/2021:11:41:03 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/Dec/2021:11:41:04 +0530] "GET /ORS_4/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [02/Dec/2021:11:41:07 +0530] "GET /ORS_4/WelcomeCtl HTTP/1.1" 200 1391
0:0:0:0:0:0:0:1 - - [02/Dec/2021:11:41:10 +0530] "GET /ORS_4/LoginCtl HTTP/1.1" 200 3353
0:0:0:0:0:0:0:1 - - [02/Dec/2021:11:41:11 +0530] "GET /ORS_4/ForgetPasswordCtl HTTP/1.1" 200 2271
0:0:0:0:0:0:0:1 - - [02/Dec/2021:11:41:23 +0530] "GET /ORS_4/LoginCtl HTTP/1.1" 200 3353
0:0:0:0:0:0:0:1 - - [02/Dec/2021:11:41:32 +0530] "POST /ORS_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Dec/2021:11:41:32 +0530] "GET /ORS_4/WelcomeCtl HTTP/1.1" 200 3277
0:0:0:0:0:0:0:1 - - [02/Dec/2021:11:41:35 +0530] "GET /ORS_4/ctl/ChangePasswordCtl HTTP/1.1" 200 5211
0:0:0:0:0:0:0:1 - - [02/Dec/2021:11:41:44 +0530] "POST /ORS_4/ctl/ChangePasswordCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Dec/2021:11:41:44 +0530] "GET /ORS_4/ctl/MyProfileCtl HTTP/1.1" 200 6589
0:0:0:0:0:0:0:1 - - [02/Dec/2021:11:41:50 +0530] "GET /ORS_4/ctl/SubjectCtl HTTP/1.1" 200 5051
0:0:0:0:0:0:0:1 - - [02/Dec/2021:11:41:54 +0530] "GET /ORS_4/ctl/MyProfileCtl HTTP/1.1" 200 6589
0:0:0:0:0:0:0:1 - - [02/Dec/2021:11:41:58 +0530] "GET /ORS_4/ctl/SubjectListCtl HTTP/1.1" 200 7345
0:0:0:0:0:0:0:1 - - [02/Dec/2021:11:42:00 +0530] "GET /ORS_4/ctl/SubjectCtl HTTP/1.1" 200 5051
0:0:0:0:0:0:0:1 - - [02/Dec/2021:11:42:05 +0530] "GET /ORS_4/ctl/CollegeCtl HTTP/1.1" 200 6031
0:0:0:0:0:0:0:1 - - [02/Dec/2021:12:46:08 +0530] "GET /ORS_4/ctl/ChangePasswordCtl HTTP/1.1" 200 3484
0:0:0:0:0:0:0:1 - - [02/Dec/2021:12:46:19 +0530] "POST /ORS_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Dec/2021:12:46:19 +0530] "GET /ORS_4/ctl/ChangePasswordCtl HTTP/1.1" 200 5211
0:0:0:0:0:0:0:1 - - [02/Dec/2021:13:46:12 +0530] "GET /ORS_4/ctl/ChangePasswordCtl HTTP/1.1" 200 3484
0:0:0:0:0:0:0:1 - - [02/Dec/2021:13:46:14 +0530] "GET /ORS_4/LoginCtl HTTP/1.1" 200 3353
0:0:0:0:0:0:0:1 - - [02/Dec/2021:13:46:22 +0530] "POST /ORS_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Dec/2021:13:46:22 +0530] "GET /ORS_4/ctl/ChangePasswordCtl HTTP/1.1" 200 5211
0:0:0:0:0:0:0:1 - - [02/Dec/2021:13:46:24 +0530] "GET /ORS_4/ctl/MyProfileCtl HTTP/1.1" 200 6589
